,id,sentiment,aspect,sentence
0,1,100.0,market,royal mail chairman donald brydon set to step down
1,1,100.0,economy,royal mail chairman donald brydon set to step down
2,1,-0.374,corporate,royal mail chairman donald brydon set to step down
3,1,100.0,stock,royal mail chairman donald brydon set to step down
4,7,100.0,market,stakes high for astrazeneca heart drug facing tough competition
5,7,100.0,economy,stakes high for astrazeneca heart drug facing tough competition
6,7,-0.24,corporate,stakes high for astrazeneca heart drug facing tough competition
7,7,100.0,stock,stakes high for astrazeneca heart drug facing tough competition
8,8,100.0,market,update 1-dairy crest loses a third of morrisons milk contract
9,8,100.0,economy,update 1-dairy crest loses a third of morrisons milk contract
10,8,-0.161,corporate,update 1-dairy crest loses a third of morrisons milk contract
11,8,100.0,stock,update 1-dairy crest loses a third of morrisons milk contract
12,22,100.0,market,insight hires aviva's david hillier for multi-asset team
13,22,100.0,economy,insight hires aviva's david hillier for multi-asset team
14,22,0.137,corporate,insight hires aviva's david hillier for multi-asset team
15,22,100.0,stock,insight hires aviva's david hillier for multi-asset team
16,30,100.0,market,primark racks up a happy christmas after strong sales
17,30,100.0,economy,primark racks up a happy christmas after strong sales
18,30,0.704,corporate,primark racks up a happy christmas after strong sales
19,30,100.0,stock,primark racks up a happy christmas after strong sales
20,31,100.0,market,update 1-pearson expects to grow this year after solid end to 2014
21,31,100.0,economy,update 1-pearson expects to grow this year after solid end to 2014
22,31,100.0,corporate,update 1-pearson expects to grow this year after solid end to 2014
23,31,0.446,stock,update 1-pearson expects to grow this year after solid end to 2014
24,32,100.0,market,tesco sells blinkbox and broadband service to talktalk
25,32,100.0,economy,tesco sells blinkbox and broadband service to talktalk
26,32,0.164,corporate,tesco sells blinkbox and broadband service to talktalk
27,32,100.0,stock,tesco sells blinkbox and broadband service to talktalk
28,36,100.0,market,unilever profit rises despite sales slump in china
29,36,100.0,economy,unilever profit rises despite sales slump in china
30,36,0.213,corporate,unilever profit rises despite sales slump in china
31,36,100.0,stock,unilever profit rises despite sales slump in china
32,38,100.0,market,tesco leads leap in ftse 100; marks & spencer drops
33,38,100.0,economy,tesco leads leap in ftse 100; marks & spencer drops
34,38,100.0,corporate,tesco leads leap in ftse 100; marks & spencer drops
35,38,0.389,stock,tesco leads leap in ftse 100; marks & spencer drops
36,40,100.0,market,royal dutch shell profit rises; dividend up 4%
37,40,100.0,economy,royal dutch shell profit rises; dividend up 4%
38,40,0.65,corporate,royal dutch shell profit rises; dividend up 4%
